SNR;SGL;FSP;gueltigVon;gueltigBis
147941;   ;LB;;
147941;   ;SB;;
147977;   ;EZ;;
147977;   ;LB;;
147977;   ;SB;;
148015;   ;EZ;;
148015;   ;LB;;
148015;   ;SB;;
148076;   ;EZ;;
148076;   ;LB;;
148076;   ;SB;;
148143;   ;EZ;;
148143;   ;LB;;
148143;   ;SB;;
148192;   ;EZ;;
148192;   ;LB;;
148192;   ;SB;;
148258;   ;EZ;;
148258;   ;LB;;
148258;   ;SB;;
148349;   ;EZ;;
148349;   ;LB;;
148349;   ;SB;;
148350;   ;EZ;;
148350;   ;LB;;
148350;   ;SB;;
148519;   ;EZ;;
148519;   ;LB;;
148519;   ;SB;;
148532;   ;EZ;;
148532;   ;LB;;
148532;   ;SB;;
148544;   ;EZ;;
148544;   ;LB;;
148544;   ;SB;;
148740;   ;EZ;;
148740;   ;LB;;
148740;   ;SB;;
148805;   ;EZ;;
148805;   ;LB;;
148805;   ;SB;;
148891;   ;EZ;;
148891;   ;LB;;
148891;   ;SB;;
149135;   ;EZ;;
149135;   ;LB;;
149135;   ;SB;;
149160;   ;EZ;;
149160;   ;LB;;
149160;   ;SB;;
149172;   ;EZ;;
149172;   ;LB;;
149172;   ;SB;;
149214;   ;EZ;;
149214;   ;LB;;
149214;   ;SB;;
149408;   ;EZ;;
149408;   ;LB;;
149408;   ;SB;;
149548;   ;EZ;;
149548;   ;LB;;
149548;   ;SB;;
149603;   ;EZ;;
149603;   ;LB;;
149603;   ;SB;;
149792;   ;EZ;;
149792;   ;LB;;
149792;   ;SB;;
149913;   ;EZ;;
149913;   ;LB;;
149913;   ;SB;;
149949;   ;EZ;;
149949;   ;LB;;
149949;   ;SB;;
149950;   ;EZ;;
149950;   ;LB;;
149950;   ;SB;;
150186;   ;EZ;;
150186;   ;LB;;
150186;   ;SB;;
150228;   ;EZ;;
150228;   ;LB;;
150228;   ;SB;;
150368;   ;EZ;;
150368;   ;LB;;
150368;   ;SB;;
150447;   ;EZ;;
150447;   ;LB;;
150447;   ;SB;;
150721;   ;EZ;;
150721;   ;LB;;
150721;   ;SB;;
150733;   ;EZ;;
150733;   ;LB;;
150733;   ;SB;;
150782;   ;EZ;;
150782;   ;LB;;
150782;   ;SB;;
150800;   ;EZ;;
150800;   ;LB;;
150800;   ;SB;;
151804;   ;EZ;;
151804;   ;LB;;
151830;   ;GB;;
151841;   ;BL;;
151841;   ;SH;;
151865;   ;SB;;
151877;   ;KB;;
151889;   ;GB;;
151890;   ;GB;;
151919;   ;EZ;;
151919;   ;LB;;
151932;   ;EZ;;
151956;   ;EZ;;
151981;   ;GB;;
151993;   ;KB;;
152006;   ;BL;;
152006;   ;SH;;
152020;   ;LB;;
152031;   ;LB;;
152031;   ;SB;;
152109;   ;LB;;
152110;   ;EZ;;
152110;   ;LB;;
152122;   ;EZ;;
152122;   ;GB;;
152122;   ;LB;;
152171;   ;EZ;;
152171;   ;GB;;
152171;   ;KB;;
152171;   ;LB;;
152171;   ;SB;;
152225;   ;EZ;;
152225;   ;GB;;
152225;   ;KB;;
152225;   ;LB;;
152225;   ;SB;;
152286;   ;EZ;;
152286;   ;GB;;
152286;   ;KB;;
152286;   ;LB;;
152286;   ;SB;;
152353;   ;KB;;
152365;   ;SB;;
152377;   ;GB;;
152407;   ;GB;;
152419;   ;KB;;
152470;   ;EZ;;
152470;   ;LB;;
152470;   ;SB;;
152493;   ;EZ;;
152493;   ;LB;;
152493;   ;SB;;
152511;   ;KB;;
152523;   ;EZ;;
152523;   ;GB;;
152523;   ;LB;;
152614;   ;EZ;;
152614;   ;GB;;
152614;   ;KR;;
152614;   ;LB;;
152614;   ;SB;;
152778;   ;GB;;
152857;   ;EZ;;
152857;   ;LB;;
152857;   ;SB;;
152882;   ;GB;;
152900;   ;KB;;
152924;   ;EZ;;
152936;   ;EZ;;
152936;   ;LB;;
153096;   ;EZ;;
153096;   ;LB;;
153114;   ;GB;;
153187;   ;GB;;
153217;   ;GB;;
153266;   ;EZ;;
153308;   ;EZ;;
153310;   ;EZ;;
153310;   ;GB;;
153321;   ;EZ;;
153321;   ;LB;;
153321;   ;SB;;
153345;   ;GB;;
153345;   ;KB;;
153394;   ;GB;;
153400;   ;EZ;;
153400;   ;GB;;
153400;   ;LB;;
153424;   ;EZ;;
153424;   ;GB;;
153424;   ;LB;;
153424;   ;SB;;
153436;   ;EZ;;
153450;   ;GB;;
153588;   ;KR;;
153590;   ;GB;;
153710;   ;EZ;;
153710;   ;LB;;
153783;   ;EZ;;
153783;   ;LB;;
153795;   ;EZ;;
153795;   ;LB;;
153849;   ;EZ;;
153849;   ;LB;;
153849;   ;SB;;
153898;   ;EZ;;
153898;   ;GB;;
153898;   ;KB;;
153898;   ;LB;;
153898;   ;SB;;
153898;   ;SH;;
153916;   ;GB;;
153941;   ;EZ;;
153941;   ;GB;;
153941;   ;LB;;
153941;   ;SB;;
153977;   ;EZ;;
153977;   ;LB;;
153977;   ;SB;;
154015;   ;GB;;
154027;   ;SB;;
154040;   ;KB;;
154064;   ;EZ;;
154064;   ;LB;;
154064;   ;SB;;
154088;   ;KR;;
154106;   ;GH;;
154106;   ;SG;;
154143;   ;KR;;
154179;   ;EZ;;
154180;   ;EZ;;
154209;   ;EZ;;
154210;   ;EZ;;
154222;   ;EZ;;
154246;   ;SB;;
154260;   ;GB;;
154337;   ;EZ;;
154337;   ;LB;;
154362;   ;EZ;;
154362;   ;LB;;
154374;   ;LB;;
154428;   ;BL;;
154428;   ;SH;;
154465;   ;LB;;
154490;   ;GB;;
154507;   ;GB;;
154519;   ;EZ;;
154520;   ;EZ;;
154520;   ;LB;;
154520;   ;SB;;
154556;   ;LB;;
154593;   ;KB;;
154600;   ;GB;;
154623;   ;GH;;
154623;   ;SG;;
154647;   ;EZ;;
154647;   ;LB;;
154647;   ;SB;;
154660;   ;EZ;;
154684;   ;EZ;;
154684;   ;LB;;
154684;   ;SB;;
154696;   ;EZ;;
154696;   ;LB;;
154696;   ;SB;;
154714;   ;GB;;
154763;   ;GB;;
154799;   ;GB;;
154805;   ;EZ;;
154805;   ;GB;;
154805;   ;LB;;
154805;   ;SB;;
154817;   ;EZ;;
154817;   ;LB;;
154829;   ;EZ;;
154829;   ;LB;;
154829;   ;SB;;
154830;   ;EZ;;
154830;   ;LB;;
154830;   ;SB;;
154842;   ;GB;;
154880;   ;GB;;
154945;   ;EZ;;
154945;   ;LB;;
154945;   ;SB;;
154957;   ;EZ;;
154957;   ;GB;;
154957;   ;KB;;
154969;   ;GB;;
154970;   ;EZ;;
154982;   ;EZ;;
154982;   ;LB;;
154982;   ;SB;;
154994;   ;LB;;
154994;   ;SB;;
155007;   ;LB;;
155019;   ;EZ;;
155068;   ;EZ;;
155068;   ;LB;;
155068;   ;SB;;
155081;   ;GB;;
155100;   ;LB;;
155135;   ;KR;;
155147;   ;KB;;
155159;   ;GH;;
155159;   ;SG;;
155196;   ;LB;;
155226;   ;EZ;;
155240;   ;BL;;
155240;   ;SH;;
155329;   ;EZ;;
155329;   ;LB;;
155329;   ;SB;;
155366;   ;EZ;;
155366;   ;LB;;
155366;   ;SB;;
155445;   ;GB;;
155457;   ;EZ;;
155457;   ;LB;;
155457;   ;SB;;
155470;   ;BL;;
155470;   ;SH;;
155494;   ;EZ;;
155494;   ;LB;;
155494;   ;SB;;
155536;   ;EZ;;
155536;   ;LB;;
155536;   ;SB;;
155561;   ;EZ;;
155561;   ;LB;;
155561;   ;SB;;
155597;   ;EZ;;
155597;   ;LB;;
155597;   ;SB;;
155615;   ;GB;;
155690;   ;EZ;;
155690;   ;LB;;
155731;   ;EZ;;
155731;   ;LB;;
155779;   ;BL;;
155779;   ;SH;;
155780;   ;GH;;
155780;   ;SG;;
155792;   ;KB;;
155809;   ;GB;;
155822;   ;EZ;;
155822;   ;LB;;
155822;   ;SB;;
155858;   ;LB;;
155895;   ;BL;;
155895;   ;SH;;
155901;   ;GB;;
155913;   ;GH;;
155913;   ;SG;;
155925;   ;KR;;
155949;   ;EZ;;
155949;   ;LB;;
155998;   ;EZ;;
155998;   ;LB;;
155998;   ;SB;;
156048;   ;LB;;
156073;   ;KR;;
156097;   ;KB;;
156127;   ;LB;;
156139;   ;GB;;
156255;   ;EZ;;
156255;   ;LB;;
156255;   ;SB;;
156309;   ;EZ;;
156309;   ;LB;;
156309;   ;SB;;
156334;   ;KR;;
156358;   ;EZ;;
156358;   ;LB;;
156358;   ;SB;;
156401;   ;LB;;
156425;   ;EZ;;
156530;   ;EZ;;
156530;   ;LB;;
156530;   ;SB;;
156541;   ;EZ;;
156541;   ;LB;;
156541;   ;SB;;
156565;   ;GB;;
156565;   ;KB;;
156589;   ;KB;;
156644;   ;LB;;
156644;   ;SB;;
156656;   ;LB;;
156700;   ;LB;;
156735;   ;EZ;;
156796;   ;KR;;
156814;   ;GB;;
156840;   ;LB;;
156899;   ;LB;;
156917;   ;EZ;;
156930;   ;KB;;
156942;   ;GB;;
156942;   ;KB;;
156980;   ;BL;;
156980;   ;GB;;
156980;   ;SH;;
157004;   ;EZ;;
157016;   ;LB;;
157028;   ;EZ;;
157030;   ;GB;;
157030;   ;KB;;
157065;   ;LB;;
157107;   ;EZ;;
157107;   ;LB;;
157120;   ;LB;;
157200;   ;KB;;
157247;   ;EZ;;
157247;   ;LB;;
157247;   ;SB;;
157296;   ;LB;;
157326;   ;LB;;
157338;   ;LB;;
157351;   ;LB;;
157363;   ;LB;;
157430;   ;GH;;
157430;   ;SG;;
157442;   ;GB;;
157454;   ;BL;;
157454;   ;SH;;
157466;   ;KB;;
157491;   ;LB;;
157510;   ;LB;;
157533;   ;KR;;
157648;   ;EZ;;
157648;   ;KR;;
157650;   ;GB;;
157727;   ;EZ;;
157727;   ;LB;;
157727;   ;SB;;
157818;   ;EZ;;
157818;   ;LB;;
157818;   ;SB;;
157855;   ;LB;;
157867;   ;EZ;;
157892;   ;KB;;
157922;   ;KR;;
157934;   ;EZ;;
157934;   ;LB;;
157958;   ;EZ;;
157958;   ;LB;;
157958;   ;SB;;
158010;   ;GB;;
158021;   ;KB;;
158070;   ;KR;;
158070;   ;LB;;
158136;   ;LB;;
158215;   ;EZ;;
158215;   ;LB;;
158276;   ;EZ;;
158276;   ;LB;;
158318;   ;EZ;;
158318;   ;LB;;
158318;   ;SB;;
158331;   ;BL;;
158331;   ;SH;;
158331;R00;BL;;
158331;R00;SH;;
158355;   ;GB;;
158379;   ;LB;;
158410;   ;KB;;
158471;   ;GB;;
158574;   ;LB;;
158574;   ;SB;;
158574;   ;EZ;;
158586;   ;LB;;
158586;   ;SB;;
158586;   ;EZ;;
158598;   ;LB;;
158598;   ;SB;;
158598;   ;EZ;;
158604;   ;LB;;
158604;   ;SB;;
158604;   ;EZ;;
158616;   ;LB;;
158616;   ;SB;;
158616;   ;EZ;;
158630;   ;LB;;
158630;   ;SB;;
158630;   ;EZ;;
158641;   ;LB;;
158641;   ;SB;;
158641;   ;EZ;;
158707;   ;EZ;;
158707;   ;LB;;
158707;   ;SB;;
158781;   ;LB;;
158781;   ;SB;;
158781;   ;EZ;;
158811;   ;LB;;
158811;   ;SB;;
158811;   ;EZ;;
158823;   ;LB;;
158823;   ;SB;;
158823;   ;EZ;;
158835;   ;LB;;
158835;   ;SB;;
158835;   ;EZ;;
158847;   ;LB;;
158847;   ;SB;;
158847;   ;EZ;;
158859;   ;LB;;
158859;   ;SB;;
158859;   ;EZ;;
158872;   ;LB;;
158872;   ;SB;;
158872;   ;EZ;;
158884;   ;LB;;
158884;   ;SB;;
158884;   ;EZ;;
158896;   ;LB;;
158896;   ;SB;;
158896;   ;EZ;;
158902;   ;LB;;
158902;   ;SB;;
158902;   ;EZ;;
158940;   ;EZ;;
158940;   ;LB;;
158940;   ;SB;;
158940;R01;  ;;
158975;   ;LB;;
158975;   ;SB;;
158975;   ;EZ;;
158999;   ;LB;;
158999;   ;SB;;
158999;   ;EZ;;
159001;   ;LB;;
159001;   ;SB;;
159001;   ;EZ;;
159001;H  ;  ;;
159049;   ;LB;;
159049;   ;SB;;
159049;   ;EZ;;
159050;   ;LB;;
159050;   ;SB;;
159050;   ;EZ;;
159062;   ;LB;;
159062;   ;SB;;
159062;   ;EZ;;
159086;   ;LB;;
159086;   ;SB;;
159086;   ;EZ;;
159098;   ;LB;;
159098;   ;SB;;
159098;   ;EZ;;
159104;   ;LB;;
159104;   ;SB;;
