Name;Revision;Veraltet;Migration;ImpExp;JavaKlasse;JavaPackage;JavaKommentar
K_Ankreuzdaten;0;-1;1;1;DTOAnkreuzdaten;schild.grundschule;Angaben zu den Ankreuzkompetenzen (Ankreutzzeugnisse GS / Kompetenz-Ausdrucke für Schüler zum Zeugnis)
K_Ankreuzfloskeln;0;-1;1;1;DTOAnkreuzfloskeln;schild.grundschule;Einzelne Textbausteine, die den Fächer dann als Ankreuzkompetenzen zugewiesen werden können
K_BeschaeftigungsArt;0;-1;1;1;DTOBeschaeftigungsart;schild.berufskolleg;Beschäftigungsarten, die bei weiteren Adressen und Betrieben dem Schüler zugeordnet werden können
K_Datenschutz;0;-1;1;1;DTOKatalogDatenschutz;schild.katalog;Tabelle für die DSGVO Einwilligungsarten
K_EinschulungsArt;0;-1;1;1;DTOEinschulungsart;schild.schueler;War urspünglich mal für alle Schulformen verfügbar, ist aber bei den allg.-bildenen Schulen durch die Statkue-Tabelle ersetzt worden. Bei WBKs und BKs wird sie aber noch verwendet (der Umstieg auf die Statkue-Tabelle führte da zu Protesten, weil die Schulen keine eigenen Einträge mehr machen konnten).
K_Einzelleistungen;0;-1;1;1;DTOTeilleistungsarten;schild.schueler;Liste der Teilleistungsarten, die den Fächern in dne Leistungsdaten zugewiesen werden können
K_EntlassGrund;0;-1;1;1;DTOEntlassarten;schild.schueler;Liste der Entlassgründe > Schulbesuch > Entlassung von eigener Schule (kann selbst definiert werden)
K_ErzieherArt;0;-1;1;1;DTOErzieherart;schild.erzieher;Liste der Erzieherarten > Karteireiter Erzieher
K_ErzieherFunktion;0;-1;1;1;DTOErzieherfunktion;schild.erzieher;Liste von möglichen Funktionen für Erzieher **** alt wird mittlerweile über Personengruppen geregelt ****
K_FahrschuelerArt;0;-1;1;1;DTOFahrschuelerart;schild.katalog;Liste der Fahrschülerarten Individualdaten I - kann selbst definiert werden
K_Foerderschwerpunkt;0;-1;1;1;DTOFoerderschwerpunkt;schild.schueler;Liste der Förderschwerpunkte mit interner Bezeichnung und ASD-Kürzel (IT.NRW)
K_Haltestelle;0;-1;1;1;DTOHaltestellen;schild.katalog;Liste der Haltestellen Individualdaten I - kann selbst definiert werden
K_Kindergarten;0;-1;1;1;DTOKindergarten;schild.grundschule;Liste aller Kindergärten für den Reiter Individualdaten II
K_Lehrer;0;-1;1;1;DTOLehrer;schild.lehrer;Tabelle für die Datensätze der Lehrkräfte
K_Ort;0;-1;1;1;DTOOrt;schild.katalog;Interner Ortskatalog
K_Ortsteil;0;-1;1;1;DTOOrtsteil;schild.katalog;Interner Ortsteilkatalog
K_Religion;0;-1;1;1;DTOKonfession;schild.katalog;Liste der verwendeten Konfessionen mit interner Bezeichnung und ASD-Kürzel (IT.NRW)
K_Schule;0;-1;1;1;DTOSchuleNRW;schild.katalog;Interner Katalog der verwendeten Schulen für die Herkunft der Schüler (Reiter Schulbesuch)
K_Schulfunktionen;0;-1;1;1;DTOSchulfunktion;schild.katalog;frei definierbarer Katalog für Schulfunktionen, die dann im Lehrerkatalog den Lehrern zugewiesen werden können
K_Schwerpunkt;0;-1;1;1;DTOSchwerpunkt;schild.katalog;Schwerpunkte, die einem Schüler auf Individualdaten I zugeordnet werden können (z.B. RS und GY)
K_Sportbefreiung;0;-1;1;1;DTOSportbefreiung;schild.schueler;Liste der Sportbefreiungen kann frei definiert werden 
K_TelefonArt;0;-1;1;1;DTOTelefonArt;schild.erzieher;Liste der intern verwendeten Telefonnummern-Bezeichnungen kann frei definiert werden
K_Textdateien;0;-1;1;1;DTOTextDateien;schild.katalog;Katalog für TXT-Dateien, diese werden ab Schild3.0 intern verwaltet (z.B für Email-Texte)
K_Vermerkart;0;-1;1;1;DTOVermerkArt;schild.katalog;Liste der verwendeten Vermerkarten – kann unter Schulverwaltung frei ergänzt werden
K_Zertifikate;0;-1;1;1;DTOKatalogZertifikate;schild.berufskolleg;Liste der Zertifikate nur BK
Katalog_Aufsichtsbereich;5;-1;0;1;DTOKatalogAufsichtsbereich;schild.katalog;Enthält eine aktuelle Liste von Aufsichtsbereichen, die an der Schule für Pausenzeiten vereinbart sind.
Katalog_Pausenzeiten;5;-1;0;1;DTOKatalogPausenzeit;schild.stundenplan;Enthält die aktuellen Zeiten für die Pausenaufsichten.
Katalog_Raeume;5;-1;0;1;DTOKatalogRaum;schild.katalog;Enthält eine aktuelle Liste von Räumen, die an der Schule verfügbar sind.
Katalog_Zeitraster;5;-1;0;1;DTOKatalogZeitraster;schild.stundenplan;Enthält das aktuelle Zeitraster für Stundenpläne.
Kompetenzen;0;-1;0;0;DTOKatalogBenutzerKompetenz;schild.benutzer;Rechte für die Benutzerverwaltung von Schild-NRW
Kompetenzgruppen;0;-1;0;0;DTOKatalogBenutzerKompetenzGruppe;schild.benutzer;definierte Usergruppen, die wiederum die Kompetenzen enthält
Klassen;0;-1;0;1;DTOKlassen;schild.klassen;Tabelle für die Schuljahresabschnitts-spezifische Klassen-/Versetzungstabelle
KlassenLehrer;0;-1;0;1;DTOKlassenLehrer;schild.klassen;Tabelle für die Schuljahresabschnitts-spezifische Zuordnung von Klassen-Lehrern zu den Klassen 
Kurs_Schueler;1;-1;0;0;DTOKursSchueler;schild.kurse;Tabelle mit KursSchueler-Zuordnungen wird ab Schild3.0 getriggert für performanteren Druck
Kurse;0;-1;1;1;DTOKurs;schild.kurse;Tabelle der Kurse
KursLehrer;0;-1;1;1;DTOKursLehrer;schild.kurse;Zusätzliche Lehrkräfte in den Kursen
LehrerAbschnittsdaten;0;-1;1;1;DTOLehrerAbschnittsdaten;schild.lehrer;Lehrerdaten, die Abschnittsweise gespeichert werden
LehrerAnrechnung;0;-1;1;1;DTOLehrerAnrechnungsstunde;schild.lehrer;Anrechnungsstunden für Lehrkräfte gültige ASD-Schlüssel
LehrerDatenschutz;0;-1;1;1;DTOLehrerDatenschutz;schild.lehrer;Einwilligungen Datenschutz für die Lehrer
LehrerEntlastung;0;-1;1;1;DTOLehrerEntlastungsstunde;schild.lehrer;Entlastungsstundenstunden für Lehrkräfte gültige ASD-Schlüssel
LehrerFotos;0;-1;1;1;DTOLehrerFoto;schild.lehrer;Blobfelder für Lehrkräfte-Fotos
LehrerFunktionen;0;-1;1;1;DTOLehrerFunktion;schild.lehrer;Lehrkräfte eingetragene Funktionen aus K_Schulfunktionen
LehrerLehramt;0;-1;1;1;DTOLehrerLehramt;schild.lehrer;Lehrämter gültige Schlüssel zur Lehrkraft
LehrerLehramtFachr;0;-1;1;1;DTOLehrerLehramtFachrichtung;schild.lehrer;Fachrichtung gültige Schlüssel zur Lehrkraft
LehrerLehramtLehrbef;0;-1;1;1;DTOLehrerLehramtBefaehigung;schild.lehrer;Lehramt Lehrbefähigung gültige Schlüssel zur Lehrkraft
LehrerLernplattform;0;-1;1;1;DTOLehrerLernplattform;schild.lehrer;Tabelle zur Speicherung der CredentialID und den Einwilligungen zu den Lernplattformen
LehrerMehrleistung;0;-1;1;1;DTOLehrerMehrleistung;schild.lehrer;gültige Schlüssel zur Lehrkraft für die Mehrleistungsstunden
