Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
S;Spanisch;S;Spanisch;1;3;BK,(H,R),S,SB,WB;;;;1;0;0;0;0;0;1;;
S0;Spanisch, regulärer Beginn in der Einführungsphase;S;Spanisch, regulärer Beginn in der Einführungsphase;1;3;GE,GM,GY,PS,SG;;;EF;1;0;0;0;0;1;1;;
S3;Sport für Jungen;S3;Sport für Jungen;;12;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
S4;Sport für Mädchen;S4;Sport für Mädchen;;12;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
S5;Spanisch, regulärer Beginn in Jahrgang 5;S;Spanisch, regulärer Beginn in Jahrgang 5;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;5;1;0;0;0;0;0;1;;
S6;Spanisch, regulärer Beginn in Jahrgang 6;S;Spanisch, regulärer Beginn in Jahrgang 6;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;6;1;0;0;0;0;0;1;;
S7;Spanisch, regulärer Beginn in Jahrgang 7;S;Spanisch, regulärer Beginn in Jahrgang 7;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;7;1;0;0;0;0;0;1;;
S8;Spanisch, regulärer Beginn in Jahrgang 8;S;Spanisch, regulärer Beginn in Jahrgang 8;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;8;1;0;0;0;0;0;1;;
SE;Softwareentwicklung und -engineering;SE;Softwareentwicklung und -engineering;;;BK,SB;;;;0;0;0;0;0;0;1;;
SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;SG;sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf;;;BK,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;SH;Herkunftssprache anstelle einer Pflichtfremdsprache - Spanisch;;;GE,GM,GY,(H,R),PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
